WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version,WarTypeC,V5RegionC,OutcomeC,WarTypeD,OutcomeD,TotalBDeathsU,Americas,Phase1_st,Phase2_st,Phase3_st,Phase4_st,Phase1_en,Phase2_en,Phase3_en,Phase4_en,InitiatorDeaths,RecipientDeaths,InitiatorDeaths2,RecipientDeaths2,AbsDiffDeaths,RelDiffDeaths,StartYR_Norm,InitiatorDeathsImp,RecipientDeathsImp,AbsDiffDeathsImp,RelDiffDeathsImp,OutcomeE,cluster
548,First Venezuela War of 1848-1849,2,4,101,Venezuela,Paez-led Rebels,0,2,4,1848,8,15,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,552,18.4,18.4,-8,Paez-led Rebels,1,-8,1500,500,2000,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,2000,Americas,1848-02-04,NA,NA,NA,1849-08-15,NA,NA,NA,500,1500,500,1500,-1000,0.0014245014245014246,30,500,1500,-1000,0.0014245014245014246,Other,1
549,Second French Insurrection of 1848,3,4,220,France,Republicans,0,2,22,1848,2,24,1848,4,26,1848,6,26,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,64,2.13,2.1,-8,Republicans,1,-8,1100,3000,4100,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,4100,Not in Americas,1848-02-22,1848-04-26,NA,NA,1848-02-24,1848-06-26,NA,NA,3000,1100,3000,1100,1900,0.0027065527065527066,30,3000,1100,1900,0.0027065527065527066,Other,1
550,Viennese Revolt of 1848,3,4,300,Austria,Vienna Liberals,0,3,13,1848,3,15,1848,10,6,1848,10,31,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,29,0.97,0.93,-8,Vienna Liberals,1,-8,241,3000,3241,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,3241,Not in Americas,1848-03-13,1848-10-06,NA,NA,1848-03-15,1848-10-31,NA,NA,3000,241,3000,241,2759,0.0039301994301994304,30,3000,241,2759,0.0039301994301994304,Other,1
551,Milan Five Day Revolt of 1848,3,5,300,Austria,Milan Liberals,0,3,18,1848,3,23,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,0.2,0.17,-8,Milan Liberals,4,10,600,430,1030,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,1030,Not in Americas,1848-03-18,NA,NA,NA,1848-03-23,NA,NA,NA,430,600,430,600,-170,2.4216524216524217e-4,30,430,600,-170,2.4216524216524217e-4,Other,4
553,Mayan Caste War phase 2 of 1848-1855,1,5,70,Mexico,Mayans,0,8,17,1848,3,4,1855,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2358,78.6,78.6,545,Mexico,1,-8,-9,-9,105000,5.1,Civil War: Local Issues,North America,Side A wins,Civil War: Local Issues,Side A,50000,Americas,1848-08-17,NA,NA,NA,1855-03-04,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,30,750,7100,-6350,0.009045584045584046,Initiator Won,3
554,Hungarian War of 1848-1849,3,5,300,Austria,Hungary,1,9,11,1848,8,11,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,331,11.03,12.87,-8,Croatia,1,-8,59600,45000,104600,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,50000,Not in Americas,1848-09-11,NA,NA,NA,1849-08-11,NA,NA,NA,45000,59600,45000,59600,-14600,0.020797720797720798,30,45000,59600,-14600,0.020797720797720798,Other,2
554.3,Third Bosnian War of 1850-1851,3,5,640,Ottoman Empire,Bosnian and Montenegrin Beys,0,8,-9,1850,4,-9,1851,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,241,8.03,8.03,-8,Ottoman Empire,1,-8,-9,-9,4000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,4000,Not in Americas,1850-08-09,NA,NA,NA,1851-04-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,32,2035,6000,-3965,0.005648148148148148,Initiator Won,4
554.5,Aleppo Revolt of 1850,5,5,640,Ottoman Empire,Aleppo,0,10,17,1850,11,10,1850,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,24,0.8,0.8,-8,Aleppo,1,-8,-9,-9,1000,5.1,Civil War: Local Issues,Middle East and North Africa,Side A wins,Civil War: Local Issues,Side A,1000,Not in Americas,1850-10-17,NA,NA,NA,1850-11-10,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,32,20500,7150,13350,0.019017094017094015,Other,4
555,First Chilean War of 1851-1852,2,4,155,Chile,Liberals,0,9,5,1851,1,8,1852,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,124,4.13,4.13,-8,Liberals,1,-8,1500,2500,4000,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,4000,Americas,1851-09-05,NA,NA,NA,1852-01-08,NA,NA,NA,2500,1500,2500,1500,1000,0.0014245014245014246,33,2500,1500,1000,0.0014245014245014246,Other,1
555.8,Druze Rebellion of 1852,5,5,640,Ottoman Empire,Druze Alliance,0,9,14,1852,11,1,1852,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,48,1.6,1.6,-8,Ottoman Empire,2,-8,-9,-9,1000,5.1,Civil War: Local Issues,Middle East and North Africa,Side B wins,Civil War: Local Issues,Side B,1000,Not in Americas,1852-09-14,NA,NA,NA,1852-11-01,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,34,2035,15000,-12965,0.01846866096866097,Other,4
556,First Turco-Montenegrin War of 1852-1853,3,5,640,Ottoman Empire,Montenegro and Hercegovina,0,9,-9,1852,3,9,1853,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,175,5.83,5.83,-8,Montenegro,3,-8,4500,2000,6500,5.1,Civil War: Local Issues,Europe,Compromise,Civil War: Local Issues,Other,6500,Not in Americas,1852-09-09,NA,NA,NA,1853-03-09,NA,NA,NA,2000,4500,2000,4500,-2500,0.0035612535612535613,34,2000,4500,-2500,0.0035612535612535613,Other,4
557,Peruvian Liberal Revolution of 1853-1855,2,4,135,Peru,Liberals,0,10,21,1853,1,7,1855,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,437,14.57,14.57,-8,Liberals,2,-8,-9,-9,4000,5.1,Civil War: Central Control,South America,Side B wins,Civil War: Central Control,Side B,4000,Americas,1853-10-21,NA,NA,NA,1855-01-07,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,35,1200,2800,-1600,0.002279202279202279,Recipient Won,1
557.1,Epirus Revolt of 1854,3,5,640,Ottoman Empire,Greek Nationalists,0,1,30,1854,5,2,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,93,3.1,3.1,-8,Greek Nationalists,1,-8,-9,-9,1000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1000,Not in Americas,1854-01-30,NA,NA,NA,1854-05-02,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,36,18476,879,17597,0.025066951566951566,Other,4
557.2,Greek Nationalists of Macedonia War of 1854,3,5,640,Ottoman Empire,Greek Nationalists in Macedonia,0,2,-9,1854,6,-9,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,121,4.03,4.03,-8,Greek Nationalists in Macedonia,1,-8,-9,-9,1000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1000,Not in Americas,1854-02-09,NA,NA,NA,1854-06-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,36,200,100,100,1.4245014245014244e-4,Other,4
557.3,Colombia's Barracks Rebellion of 1854,2,4,100,Colombia,Constitutionalists,0,4,19,1854,12,4,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,226,7.53,7.53,-8,Constitutionalists,2,-8,1400,600,2000,5.1,Civil War: Central Control,South America,Side B wins,Civil War: Central Control,Side B,2000,Americas,1854-04-19,NA,NA,NA,1854-12-04,NA,NA,NA,600,1400,600,1400,-800,0.0011396011396011395,36,600,1400,-800,0.0011396011396011395,Recipient Won,1
557.8,Barquisimeto Rebellion of 1854,2,4,101,Venezuela,Rodriguez-led Rebels,0,7,12,1854,8,15,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,34,1.13,1.13,-8,Rodriguez-led Rebels,1,-8,100,1000,1100,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,1100,Americas,1854-07-12,NA,NA,NA,1854-08-15,NA,NA,NA,1000,100,1000,100,900,0.001282051282051282,36,1000,100,900,0.001282051282051282,Other,1
557.9,Libyan Insurrection of 1855-1856,5,5,640,Ottoman Empire,Libyan Rebels,0,6,-9,1855,1,-9,1856,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,211,7.03,7.03,-8,Libyan Rebels,1,-8,1400,500,1900,5.1,Civil War: Local Issues,Middle East and North Africa,Side A wins,Civil War: Local Issues,Side A,1900,Not in Americas,1855-06-09,NA,NA,NA,1856-01-09,NA,NA,NA,500,1400,500,1400,-900,0.001282051282051282,37,500,1400,-900,0.001282051282051282,Other,4
558,Puebla War of 1855-1856,1,4,70,Mexico,Conservative Military,0,12,11,1855,3,21,1856,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,101,3.37,3.37,-8,Conservative Military,1,-8,200,1000,1200,5.1,Civil War: Central Control,North America,Side A wins,Civil War: Central Control,Side A,1200,Americas,1855-12-11,NA,NA,NA,1856-03-21,NA,NA,NA,1000,200,1000,200,800,0.0011396011396011395,37,1000,200,800,0.0011396011396011395,Other,1
560,Second Peru War of 1856-1858,2,4,135,Peru,Conservatives,0,10,31,1856,3,7,1858,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,488,16.27,16.27,-8,Conservatives,1,-8,1000,2000,3000,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,3000,Americas,1856-10-31,NA,NA,NA,1858-03-07,NA,NA,NA,2000,1000,2000,1000,1000,0.0014245014245014246,38,2000,1000,1000,0.0014245014245014246,Other,1
561,Mexican Reform of 1858-1861,1,4,70,Mexico,Liberals,0,2,14,1858,1,1,1861,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1038,34.6,34.6,-8,Liberals,2,-8,-9,-9,8000,5.1,Civil War: Central Control,North America,Side B wins,Civil War: Central Control,Side B,8000,Americas,1858-02-14,NA,NA,NA,1861-01-01,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,40,1000,600,400,5.698005698005698e-4,Recipient Won,1
562,Second Turco-Montenegrin War of 1858,3,5,640,Ottoman Empire,Montenegro,0,5,4,1858,5,14,1858,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,11,0.37,0.37,-8,Ottoman Empire,2,-8,3000,400,3400,5.1,Civil War: Local Issues,Europe,Side B wins,Civil War: Local Issues,Side B,3400,Not in Americas,1858-05-04,NA,NA,NA,1858-05-14,NA,NA,NA,3000,400,3000,400,2600,0.003703703703703704,40,3000,400,2600,0.003703703703703704,Other,4
562.5,Constituent Revolution  of 1859,2,4,155,Chile,Constituents,0,1,5,1859,5,12,1859,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,128,4.27,4.27,-8,Constituents,1,-8,-9,-9,2000,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,2000,Americas,1859-01-05,NA,NA,NA,1859-05-12,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,41,7500,2242,5258,0.00749002849002849,Other,1
563,Venezuelan Federal War of 1859-1863,2,4,101,Venezuela,Liberals,0,2,20,1859,5,23,1863,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1534,51.13,51.13,-8,Liberals,2,-8,30000,10000,40000,5.1,Civil War: Central Control,South America,Side B wins,Civil War: Central Control,Side B,40000,Americas,1859-02-20,NA,NA,NA,1863-05-23,NA,NA,NA,10000,30000,10000,30000,-20000,0.02849002849002849,41,10000,30000,-20000,0.02849002849002849,Recipient Won,1
565,Third Colombian War of 1860-1862,2,4,100,Colombia,Liberals,0,2,22,1860,10,13,1862,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,952,31.73,31.73,-8,Liberals,2,-8,-9,-9,4000,5.1,Civil War: Central Control,South America,Side B wins,Civil War: Central Control,Side B,4000,Americas,1860-02-22,NA,NA,NA,1862-10-13,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,42,2000,1800,200,2.849002849002849e-4,Recipient Won,1
566,Third Maronite-Druze War of 1860,5,7,-8,Maronites,Druzes,0,5,26,1860,7,12,1860,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,47,1.57,1.57,-8,Maronites,2,-8,2000,1000,3000,5.1,Intercommunal,Middle East and North Africa,Side B wins,Other,Side B,3000,Not in Americas,1860-05-26,NA,NA,NA,1860-07-12,NA,NA,NA,2000,1000,2000,1000,1000,0.0014245014245014246,42,2000,1000,1000,0.0014245014245014246,Other,4
567,Taiping Rebellion phase 2 of 1860-1866,6,4,710,China,Taipings,1,10,25,1860,2,9,1866,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1905,63.5,84.97,1534,Taipings,1,-8,-9,-9,250025,5.1,Civil War: Central Control,Asia and Oceania,Side A wins,Civil War: Central Control,Side A,50000,Not in Americas,1860-10-25,NA,NA,NA,1866-02-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,42,5000,40,4960,0.007065527065527066,Other,2
568,Second Nien Revolt  of 1860-1868,6,5,710,China,Nien Society,0,10,25,1860,8,16,1868,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2812,93.73,93.73,-8,Niens,1,-8,-9,-9,75000,5.1,Civil War: Local Issues,Asia and Oceania,Side A wins,Civil War: Local Issues,Side A,50000,Not in Americas,1860-10-25,NA,NA,NA,1868-08-16,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,42,15200,50000,-34800,0.04957264957264957,Other,4
570,Miao Rebellion phase 2 of 1860-1872,6,5,710,China,Miao,0,10,25,1860,11,-9,1872,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4341,144.7,144.7,1538,Miao,1,-8,-9,-9,100000,5.1,Civil War: Local Issues,Asia and Oceania,Side A wins,Civil War: Local Issues,Side A,50000,Not in Americas,1860-10-25,NA,NA,NA,1872-11-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,42,15177,50000,-34823,0.0496054131054131,Other,4
571,Panthay Rebellion phase 2 of 1860-1874,6,5,710,China,Hui Rebels,0,10,25,1860,5,4,1874,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4870,162.33,162.33,1541,Hui Rebels,1,-8,-9,-9,75000,5.1,Civil War: Local Issues,Asia and Oceania,Side A wins,Civil War: Local Issues,Side A,50000,Not in Americas,1860-10-25,NA,NA,NA,1874-05-04,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,42,8700,2242,6458,0.0091994301994302,Other,4
572,U.S. Civil War of 1861-1865,1,5,2,United States of America,Confederate States of America,0,4,12,1861,5,11,1865,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1470,49,49,-8,Confederate States of America,1,-8,360000,258000,618000,5.1,Civil War: Local Issues,North America,Side A wins,Civil War: Local Issues,Side A,50000,Americas,1861-04-12,NA,NA,NA,1865-05-11,NA,NA,NA,258000,360000,258000,360000,-102000,0.1452991452991453,43,258000,360000,-102000,0.1452991452991453,Other,3
573,Third Buenos Aires War of 1861-1862,2,4,160,Argentina,Buenos Aires,0,8,20,1861,3,21,1862,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,212,7.07,7.07,-8,Buenos Aires,2,-8,-9,-9,1000,5.1,Civil War: Central Control,South America,Side B wins,Civil War: Central Control,Side B,1000,Americas,1861-08-20,NA,NA,NA,1862-03-21,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,43,4000,3500,500,7.122507122507123e-4,Recipient Won,1
575,Third Turco-Montenegrin War of 1861-1862,3,5,640,Ottoman Empire,Montenegro and Hercegovina,0,9,16,1861,8,31,1862,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,346,11.53,11.53,-8,Ottoman Empire,3,-8,5000,2000,7000,5.1,Civil War: Local Issues,Europe,Compromise,Civil War: Local Issues,Other,7000,Not in Americas,1861-09-16,NA,NA,NA,1862-08-31,NA,NA,NA,5000,2000,5000,2000,3000,0.004273504273504274,43,5000,2000,3000,0.004273504273504274,Other,4
576,Tungan Rebellion of 1862-1873,6,5,710,China,Shaanxi and Gansu Muslims,0,6,9,1862,12,12,1873,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4144,138.13,138.13,-8,Shaanxi and Gansu Muslims,1,-8,-9,-9,200000,5.1,Civil War: Local Issues,Asia and Oceania,Side A wins,Civil War: Local Issues,Side A,50000,Not in Americas,1862-06-09,NA,NA,NA,1873-12-12,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,44,31246,5739,25507,0.036334757834757835,Other,4
577,Minnesota-Sioux War of 1862,1,6,-8,Minnesota,Santee Sioux,0,8,17,1862,9,29,1862,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,43,1.43,1.43,-8,Santee Sioux,1,-8,608,513,1121,5.1,Regional Internal,North America,Side A wins,Other,Side A,1121,Americas,1862-08-17,NA,NA,NA,1862-09-29,NA,NA,NA,513,608,513,608,-95,1.3532763532763534e-4,44,513,608,-95,1.3532763532763534e-4,Other,3
578,Bolivan Perez Rebellion of 1862,2,4,145,Bolivia,Perez-led Rebels,0,9,3,1862,10,16,1862,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,44,1.47,1.47,-8,Perez-led Rebels,1,-8,-9,-9,1500,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,1500,Americas,1862-09-03,NA,NA,NA,1862-10-16,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,44,820,1500,-680,9.686609686609687e-4,Other,1
579,Second Polish War of 1863-1864,3,5,365,Russia,Polish nationalists,0,1,22,1863,4,19,1864,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,448,14.93,14.93,-8,Polish nationalists,1,-8,5000,6500,11500,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,11500,Not in Americas,1863-01-22,NA,NA,NA,1864-04-19,NA,NA,NA,6500,5000,6500,5000,1500,0.002136752136752137,45,6500,5000,1500,0.002136752136752137,Other,4
580,Second Argentina War of 1863,2,4,160,Argentina,Monteneros,0,3,31,1863,11,12,1863,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,223,7.43,7.43,-8,Montoneros,1,-8,-9,-9,2500,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,2500,Americas,1863-03-31,NA,NA,NA,1863-11-12,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,45,4000,950,3050,0.004344729344729344,Other,1
580.5,Bandit War of 1863,3,5,325,Italy,Sicilian Bandits,0,5,-9,1863,12,31,1863,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,227,7.57,7.57,-8,Italy,7,-8,2413,6587,9000,5.1,Civil War: Local Issues,Europe,Conflict continues below war level,Civil War: Local Issues,Other,9000,Not in Americas,1863-05-09,NA,NA,NA,1863-12-31,NA,NA,NA,2413,6587,2413,6587,-4174,0.005945868945868946,45,2413,6587,-4174,0.005945868945868946,Other,4
581,Sahil Revolt of 1864-1865,5,5,616,Tunisia,Ghadam-led Rebels,0,3,-9,1864,2,-9,1865,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,331,11.03,11.03,-8,Ghadam-led Rebels,1,-8,-9,-9,2000,5.1,Civil War: Local Issues,Middle East and North Africa,Side A wins,Civil War: Local Issues,Side A,2000,Not in Americas,1864-03-09,NA,NA,NA,1865-02-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,46,800,2250,-1450,0.0020655270655270657,Other,4
582,Xinjiang Muslim Revolt of 1864-1866,6,5,710,China,Xinjiang Muslims,0,6,4,1864,4,11,1866,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,668,22.27,22.27,-8,Xinjiang Muslims,2,-8,-9,-9,10000,5.1,Civil War: Local Issues,Asia and Oceania,Side B wins,Civil War: Local Issues,Side B,10000,Not in Americas,1864-06-04,NA,NA,NA,1866-04-11,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,46,1028,1200,-172,2.45014245014245e-4,Recipient Won,4
582.3,Kanto Insurrection of 1864-1865,6,4,740,Japan,Mito Rebels,0,7,10,1864,1,23,1865,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,194,6.47,6.47,-8,Mito Rebels,1,-8,1000,1300,2300,5.1,Civil War: Central Control,Asia and Oceania,Side A wins,Civil War: Central Control,Side A,2300,Not in Americas,1864-07-10,NA,NA,NA,1865-01-23,NA,NA,NA,1300,1000,1300,1000,300,4.2735042735042735e-4,46,1300,1000,300,4.2735042735042735e-4,Other,1
582.5,Constitutionalist Rebellion of 1865-1866,2,4,145,Bolivia,Constitutionalists,0,1,24,1865,1,24,1866,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,361,12.03,12.03,-8,Constitutionalists,1,-8,-9,-9,1720,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,1720,Americas,1865-01-24,NA,NA,NA,1866-01-24,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,47,600,2000,-1400,0.0019943019943019944,Other,1
583,First Cretan War of 1866-1868,3,5,640,Ottoman Empire,Cretans,0,8,28,1866,12,30,1868,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,843,28.1,28.1,-8,Cretans,1,-8,-9,-9,30000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,30000,Not in Americas,1866-08-28,NA,NA,NA,1868-12-30,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,48,5000,551,4449,0.006337606837606838,Other,4
585,Yellow Cliff Revolt of 1866,6,5,710,China,Zhang Jizhong-led Rebels,0,10,-9,1866,10,-9,1866,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,15,0.5,0.53,-8,Zhang Jizhong-led Rebels,1,-8,-9,-9,2000,5.1,Civil War: Local Issues,Asia and Oceania,Side A wins,Civil War: Local Issues,Side A,2000,Not in Americas,1866-10-09,NA,NA,NA,1866-10-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,48,5000,5900,-900,0.001282051282051282,Other,4
586,Third Argentina War of 1866-1867,2,4,160,Argentina,Monteneros,0,11,9,1866,10,15,1867,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,337,11.23,11.23,-8,Montoneros,1,-8,-9,-9,2500,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,2500,Americas,1866-11-09,NA,NA,NA,1867-10-15,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,48,6000,10000,-4000,0.005698005698005698,Other,1
586.5,Kashgar-Khotan War of 1867,6,7,-8,Kashgar,Khotanese,0,1,-9,1867,2,-9,1867,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,31,1.03,1.03,-8,Kashgar,1,-8,-9,-9,2000,5.1,Intercommunal,Asia and Oceania,Side A wins,Other,Side A,2000,Not in Americas,1867-01-09,NA,NA,NA,1867-02-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,49,6000,5000,1000,0.0014245014245014246,Initiator Won,4
587,Queretaro War of 1867,1,4,70,Mexico,Liberals,0,2,6,1867,6,21,1867,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,136,4.53,4.53,40,Liberals,2,-8,1800,1000,2800,5.1,Civil War: Central Control,North America,Side B wins,Civil War: Central Control,Side B,2800,Americas,1867-02-06,NA,NA,NA,1867-06-21,NA,NA,NA,1000,1800,1000,1800,-800,0.0011396011396011395,49,1000,1800,-800,0.0011396011396011395,Recipient Won,1
587.8,Venezualan Blue Revolution of 1867-1868,2,4,101,Venezuela,Blue Coalition,0,12,24,1867,8,14,1868,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,231,7.7,7.7,-8,Blue Coalition,2,-8,-9,-9,1000,5.1,Civil War: Central Control,South America,Side B wins,Civil War: Central Control,Side B,1000,Americas,1867-12-24,NA,NA,NA,1868-08-14,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,49,4000,3000,1000,0.0014245014245014246,Recipient Won,1
588,Meiji Restoration of 1868-1869,6,4,740,Japan,Tokugawa Bafuku,0,1,27,1868,6,27,1869,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,511,17.03,17.03,-8,Japan,1,-8,3600,5400,9000,5.1,Civil War: Central Control,Asia and Oceania,Side A wins,Civil War: Central Control,Side A,9000,Not in Americas,1868-01-27,NA,NA,NA,1869-06-27,NA,NA,NA,3600,5400,3600,5400,-1800,0.002564102564102564,50,3600,5400,-1800,0.002564102564102564,Initiator Won,1
